,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
0,cabo san lucas,20,MX,1578335333,50,75.99,22.89,-109.91,4.18
1,zhigansk,100,RU,1578335434,95,-2.42,66.77,123.37,21.63
2,busselton,7,AU,1578335434,27,64.99,-33.64,115.35,10.89
3,alofi,75,NU,1578335434,94,77.0,-19.06,-169.92,3.36
4,bhag,93,PK,1578335434,85,53.51,29.04,67.82,5.32
5,yellowknife,75,CA,1578335434,74,-23.01,62.45,-114.38,5.82
6,plavinas,100,LV,1578335434,97,35.64,56.62,25.73,5.97
7,duldurga,0,RU,1578335434,90,0.99,50.67,113.59,3.51
8,torbay,90,CA,1578335434,92,30.0,47.66,-52.73,19.46
9,cidreira,15,BR,1578335434,81,76.55,-30.17,-50.22,13.87
10,avarua,15,CK,1578335434,88,80.6,-21.21,-159.78,1.12
11,lhokseumawe,13,ID,1578335435,82,70.34,5.18,97.15,3.51
12,nabire,97,ID,1578335435,99,72.79,-3.36,135.5,2.35
13,natal,40,BR,1578335435,55,87.8,-5.81,-35.21,13.87
14,xinqing,100,CN,1578335435,91,6.85,48.28,129.53,1.83
15,mar del plata,32,AR,1578335435,30,69.93,-46.43,-67.52,3.67
16,tasiilaq,97,GL,1578335435,86,18.66,65.61,-37.64,43.04
17,waipawa,20,NZ,1578335155,68,55.99,-39.94,176.59,15.01
18,bredasdorp,100,ZA,1578335435,63,66.2,-34.53,20.04,4.7
19,port elizabeth,75,US,1578335435,39,52.0,39.31,-74.98,12.75
20,cockburn town,90,TC,1578335199,88,75.2,21.46,-71.14,2.24
21,castro,75,CL,1578335435,71,57.2,-42.48,-73.76,11.41
22,albany,90,US,1578335423,74,37.99,42.65,-73.75,8.05
23,kapaa,40,US,1578335228,83,75.2,22.08,-159.32,23.04
24,kulu,66,CD,1578335435,42,79.66,3.47,23.69,1.68
25,hobart,100,AU,1578335435,77,59.0,-42.88,147.33,4.7
26,atuona,46,PF,1578335436,74,79.63,-9.8,-139.03,15.66
27,prudentopolis,17,BR,1578335436,41,87.69,-25.21,-50.98,5.68
28,ondjiva,75,AO,1578335436,88,71.6,-17.07,15.73,8.05
29,punta arenas,40,CL,1578335436,59,60.8,-53.16,-70.91,23.04
30,nikolskoye,75,RU,1578335436,94,34.0,59.7,30.79,11.18
31,aklavik,20,CA,1578335436,66,-29.2,68.22,-135.01,3.36
32,mataura,89,NZ,1578335436,90,51.01,-46.19,168.86,5.01
33,nizhnyaya omka,35,RU,1578335436,96,7.57,55.43,74.94,7.87
34,mehamn,75,NO,1578335437,83,32.0,71.03,27.85,20.8
35,tomar do geru,100,BR,1578335437,48,89.47,-11.38,-37.84,14.29
36,tuktoyaktuk,75,CA,1578335437,74,-23.8,69.44,-133.03,8.05
37,upernavik,100,GL,1578335437,99,-7.83,72.79,-56.15,12.95
38,ushuaia,75,AR,1578335437,66,51.8,-54.81,-68.31,6.93
39,dawson creek,1,CA,1578335437,83,-11.2,55.76,-120.23,2.24
40,khatanga,89,RU,1578335437,94,9.01,71.98,102.47,11.63
41,makakilo city,1,US,1578335225,69,75.99,21.35,-158.09,9.17
42,henties bay,3,NA,1578335437,86,64.0,-22.12,14.28,1.01
43,copiapo,20,CL,1578335437,41,78.8,-27.37,-70.33,14.99
44,yuli,51,CN,1578335437,97,58.14,24.82,106.77,3.62
45,geraldton,90,CA,1578335437,71,8.6,49.72,-86.95,8.05
46,rikitea,85,PF,1578335437,73,76.01,-23.12,-134.97,13.27
47,saint-philippe,90,CA,1578335438,85,28.4,45.36,-73.48,12.75
48,ashqelon,0,IL,1578335395,66,54.0,31.67,34.57,5.82
49,tual,100,ID,1578335438,77,82.65,-5.67,132.75,14.09
50,krasnokamensk,98,RU,1578335438,96,8.92,50.1,118.04,3.62
51,hilo,75,US,1578335438,73,73.4,19.71,-155.08,5.82
52,skibbereen,20,IE,1578335438,86,41.0,51.55,-9.27,8.05
53,bethel,1,US,1578335438,68,-18.4,60.79,-161.76,10.29
54,puerto ayora,75,EC,1578335438,65,82.4,-0.74,-90.35,16.11
55,komsomolskiy,100,RU,1578335438,93,8.64,67.55,63.78,18.12
56,santa gertrudes,75,BR,1578335438,100,66.2,-22.46,-47.53,8.05
57,narsaq,20,GL,1578335438,34,1.4,60.91,-46.05,5.82
58,ukiah,1,US,1578335439,80,52.0,39.15,-123.21,1.68
59,yumen,96,CN,1578335439,58,18.23,40.29,97.04,12.15
60,havelock,1,US,1578335439,38,62.01,34.88,-76.9,4.7
61,isangel,97,VU,1578335439,85,76.64,-19.55,169.27,15.84
62,port alfred,95,ZA,1578335142,95,69.01,-33.59,26.89,9.44
63,tiksi,91,RU,1578335439,84,-5.84,71.64,128.87,8.41
64,kaitangata,84,NZ,1578335439,81,51.01,-46.28,169.85,5.01
65,along,0,IN,1578335439,94,45.64,28.17,94.8,3.83
66,takaungu,20,KE,1578335439,83,82.4,-3.68,39.86,5.82
67,evensk,1,RU,1578335229,48,-6.83,61.92,159.24,5.19
68,victoria,75,BN,1578335439,74,82.4,5.28,115.24,4.7
69,san policarpo,62,PH,1578335439,86,79.11,12.18,125.51,12.57
70,deputatskiy,54,RU,1578335440,78,-17.79,69.3,139.9,1.03
71,kahului,20,US,1578335440,64,75.2,20.89,-156.47,10.29
72,chiang klang,0,TH,1578335440,79,63.7,19.29,100.86,2.21
73,itarare,43,BR,1578335440,70,84.99,-24.11,-49.33,8.77
74,srednekolymsk,69,RU,1578335440,96,-17.46,67.46,153.71,2.95
75,kobryn,92,BY,1578335440,89,30.36,52.21,24.36,7.4
76,vila do maio,80,CV,1578335440,44,77.0,15.13,-23.22,21.92
77,dunedin,79,NZ,1578335440,81,52.05,-45.87,170.5,24.49
78,casa nova,92,BR,1578335440,85,78.39,-16.03,-44.16,4.79
79,portland,90,US,1578335376,53,27.0,43.66,-70.25,6.06
80,jamestown,0,AU,1578335328,47,62.74,-33.21,138.6,9.33
81,leningradskiy,0,RU,1578335440,74,-8.32,69.38,178.42,7.94
82,qaanaaq,59,GL,1578335148,53,-12.53,77.48,-69.36,5.23
83,port-cartier,20,CA,1578335440,40,14.0,50.03,-66.88,6.93
84,klaksvik,85,FO,1578335440,70,44.6,62.23,-6.59,23.04
85,fairbanks,20,US,1578335317,65,-17.0,64.84,-147.72,0.13
86,rumoi,100,JP,1578335441,73,32.88,43.93,141.67,8.52
87,praia,75,BR,1578335205,61,80.6,-20.25,-43.81,8.05
88,thompson,90,CA,1578335189,84,-2.2,55.74,-97.86,4.7
89,zhaoyuan,100,CN,1578335441,95,19.99,45.52,125.08,8.28
90,bulgan,0,MN,1578335441,76,-1.37,48.81,103.53,4.12
91,ramsar,75,IR,1578335441,93,50.0,36.92,50.64,2.24
