,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
0,ponta do sol,100,BR,1578105423,96,67.51,-20.63,-46.0,3.76
1,galveston,90,US,1578105423,100,42.8,40.58,-86.19,4.7
2,mataura,35,NZ,1578105423,64,53.01,-46.19,168.86,14.0
3,chake chake,70,TZ,1578105423,80,82.38,-5.25,39.77,12.44
4,cape town,19,ZA,1578105401,88,66.0,-33.93,18.42,11.41
5,cidreira,9,BR,1578105423,78,73.06,-30.17,-50.22,25.01
6,tyrma,0,RU,1578105423,84,-11.13,50.04,132.17,3.13
7,palmer,75,AU,1578105423,60,79.0,-34.85,139.16,17.22
8,rikitea,94,PF,1578105423,78,79.14,-23.12,-134.97,12.19
9,tiarei,75,PF,1578105423,66,86.0,-17.53,-149.33,12.75
10,punta arenas,97,CL,1578105424,66,50.0,-53.16,-70.91,5.82
11,taonan,0,CN,1578105424,77,15.64,45.34,122.78,5.1
12,gold coast,0,AU,1578105224,58,93.99,-28.0,153.41,18.34
13,richards bay,2,ZA,1578105167,84,77.52,-28.77,32.06,19.8
14,thompson,75,CA,1578105303,84,6.8,55.74,-97.86,5.82
15,kapaa,75,US,1578105424,69,78.8,22.08,-159.32,18.34
16,ruwi,0,OM,1578105399,68,66.2,23.6,58.55,2.24
17,busselton,26,AU,1578105424,21,73.99,-33.64,115.35,2.39
18,severo-kurilsk,100,RU,1578105424,81,25.14,50.68,156.12,16.58
19,saskylakh,98,RU,1578105424,97,-17.19,71.97,114.09,6.06
20,albany,90,US,1578105151,86,42.01,42.65,-73.75,1.63
21,ribeira grande,87,PT,1578105425,92,61.02,38.52,-28.7,14.85
22,lagoa,0,PT,1578105321,81,52.0,37.14,-8.45,6.93
23,vaini,40,IN,1578105425,93,53.6,15.34,74.49,1.45
24,jabinyanah,0,TN,1578105425,87,44.6,35.03,10.91,5.82
25,kaitangata,92,NZ,1578105425,72,50.25,-46.28,169.85,34.54
26,chokurdakh,46,RU,1578105425,97,-18.78,70.62,147.9,4.81
